program, simb_program
nome2, id
;, simb_pv
var, simb_var
a, id
:, simb_dp
real, simb_tipo
;, simb_pv
var, simb_var
b, id
:, simb_dp
integer, simb_tipo
;, simb_pv
procedure, simb_procedure
nomep, id_procedure
(, simb_apar
x, id
:, simb_dp
real, simb_tipo
), simb_fpar
;, simb_pv
var, simb_var
a, id
,, simb_v
c, id
:, simb_dp
integer, simb_tipo
;, simb_pv
begin, simb_begin
read, simb_read
(, simb_apar
c, id
,, simb_v
a, id
), simb_fpar
;, simb_pv
if, simb_if
a, id
<, simb_menor
x, id
+, simb_soma
c, id
then, simb_then
begin, simb_begin
a, id
:=, simb_atrib
c, id
+, simb_soma
x, id
;, simb_pv
write, simb_write
(, simb_apar
a, id
), simb_fpar
;, simb_pv
end, simb_end
