program, simb_program
nome2, id
;, simb_pv
var, simb_var
a, id
:, simb_dp
;, simb_pv
erro, Erro sintático na linha 2: integer ou real esperado
var, simb_var
erro, Erro lexico na linha 3: caractere invalido
b, id
:, simb_dp
integer, simb_tipo
;, simb_pv
procedure, simb_procedure
nomep, id_procedure
(, simb_apar
x, id
:, simb_dp
real, simb_tipo
), simb_fpar
;, simb_pv
var, simb_var
a, id
,, simb_v
c, id
:, simb_dp
integer, simb_tipo
;, simb_pv
begin, simb_begin
read, simb_read
(, simb_apar
c, id
,, simb_v
a, id
), simb_fpar
;, simb_pv
if, simb_if
a, id
<, simb_menor
x, id
+, simb_soma
c, id
then, simb_then
begin, simb_begin
a, id
:=, simb_atrib
c, id
+, simb_soma
x, id
;, simb_pv
write, simb_write
(, simb_apar
a, id
erro, Erro lexico na linha 11: caractere @ invalido em id
), simb_fpar
erro, Erro sintático na linha 11: id esperado
;, simb_pv
end, simb_end
;, simb_pv
else, simb_else
c, id
:=, simb_atrib
a, id
+, simb_soma
x, id
;, simb_pv
end, simb_end
begin, simb_begin
erro, Erro sintático na linha 14: ; esperado
read, simb_read
(, simb_apar
b, id
), simb_fpar
;, simb_pv
nomep, id_procedure
(, simb_apar
b, id
), simb_fpar
;, simb_pv
end, simb_end
., simb_p
