program, simb_program
nomep, id
;, simb_pv
erro, Erro lexico na linha 3: comentario de varias linhas
var, simb_var
a, id
:, simb_dp
real, simb_tipo
;, simb_pv
var, simb_var
b, id
:, simb_dp
;, simb_pv
erro, Erro sintático na linha 5: integer ou real esperado
procedure, simb_procedure
(, simb_apar
erro, Erro sintático na linha 6: id esperado
x, id
:, simb_dp
real, simb_tipo
), simb_fpar
;, simb_pv
var, simb_var
,, simb_v
erro, Erro sintático na linha 7: id esperado
c, id
:, simb_dp
integer, simb_tipo
;, simb_pv
begin, simb_begin
read, simb_read
(, simb_apar
c, id
,, simb_v
a, id
,, simb_v
erro, Erro lexico na linha 9: caractere invalido
), simb_fpar
;, simb_pv
if, simb_if
a, id
<, simb_menor
x, id
+, simb_soma
erro, Erro lexico na linha 10: caractere invalido
c, id
then, simb_then
begin, simb_begin
a, id
:=, simb_atrib
c, id
+, simb_soma
x, id
;, simb_pv
write, simb_write
(, simb_apar
a, id
), simb_fpar
;, simb_pv
end, simb_end
;, simb_pv
else, simb_else
c, id
:=, simb_atrib
a, id
+, simb_soma
x, id
;, simb_pv
end, simb_end
;, simb_pv
begin, simb_begin
read, simb_read
(, simb_apar
b, id
), simb_fpar
;, simb_pv
end, simb_end
., simb_p
